VelControlTask  ,11.436,Cmd,-0.002, Enc, 0.000, Gyro, 0.002
VelControlTask  ,11.442,Cmd,-0.002, Enc, 0.000, Gyro,-0.002
VelControlTask  ,11.449,Cmd,-0.001, Enc, 0.000, Gyro, 0.003
VelControlTask  ,11.456,Cmd,-0.002, Enc, 0.000, Gyro, 0.000
VelControlTask  ,11.463,Cmd,-0.002, Enc, 0.000, Gyro, 0.000
VelControlTask  ,11.470,Cmd,-0.002, Enc, 0.000, Gyro, 0.003
VelControlTask  ,11.477,Cmd,-0.003, Enc, 0.000, Gyro, 0.002
VelControlTask  ,11.484,Cmd,-0.003, Enc, 0.000, Gyro, 0.000
VelControlTask  ,11.491,Cmd,-0.003, Enc, 0.000, Gyro, 0.002
VelControlTask  ,11.498,Cmd,-0.003, Enc, 0.000, Gyro, 0.000
VelControlTask  ,11.505,Cmd,-0.003, Enc, 0.000, Gyro,-0.001
VelControlTask  ,11.512,Cmd,-0.002, Enc, 0.000, Gyro, 0.002
VelControlTask  ,11.519,Cmd,-0.002, Enc, 0.000, Gyro, 0.000
VelControlTask  ,11.526,Cmd,-0.002, Enc, 0.000, Gyro,-0.001
VelControlTask  ,11.533,Cmd,-0.003, Enc, 0.000, Gyro, 0.002
VelControlTask  ,11.540,Cmd,-0.004, Enc, 0.000, Gyro, 0.000
VelControlTask  ,11.547,Cmd,-0.003, Enc, 0.000, Gyro, 0.002
VelControlTask  ,11.554,Cmd,-0.003, Enc, 0.000, Gyro, 0.000
VelControlTask  ,11.561,Cmd,-0.003, Enc, 0.000, Gyro,-0.001
VelControlTask  ,11.568,Cmd,-0.003, Enc, 0.000, Gyro,-0.001
VelControlTask  ,11.575,Cmd,-0.003, Enc, 0.000, Gyro,-0.001
VelControlTask  ,11.582,Cmd,-0.003, Enc, 0.000, Gyro, 0.000
VelControlTask  ,11.589,Cmd,-0.003, Enc, 0.000, Gyro,-0.001
VelControlTask  ,11.596,Cmd,-0.003, Enc, 0.000, Gyro,-0.001
VelControlTask  ,11.603,Cmd,-0.003, Enc, 0.000, Gyro, 0.003
VelControlTask  ,11.610,Cmd,-0.004, Enc, 0.000, Gyro, 0.002
VelControlTask  ,11.617,Cmd,-0.004, Enc, 0.000, Gyro, 0.003
VelControlTask  ,11.624,Cmd,-0.004, Enc, 0.000, Gyro, 0.002
VelControlTask  ,11.631,Cmd,-0.004, Enc, 0.000, Gyro,-0.001
VelControlTask  ,11.638,Cmd,-0.003, Enc, 0.000, Gyro, 0.000
VelControlTask  ,11.645,Cmd,-0.004, Enc, 0.000, Gyro, 0.005
VelControlTask  ,11.652,Cmd,-0.004, Enc, 0.000, Gyro, 0.002
VelControlTask  ,11.659,Cmd,-0.004, Enc, 0.000, Gyro, 0.000
VelControlTask  ,11.666,Cmd,-0.004, Enc, 0.000, Gyro,-0.003
VelControlTask  ,11.673,Cmd,-0.003, Enc, 0.000, Gyro, 0.000
VelControlTask  ,11.680,Cmd,-0.004, Enc, 0.000, Gyro,-0.003
VelControlTask  ,11.687,Cmd,-0.003, Enc, 0.000, Gyro,-0.002
VelControlTask  ,11.694,Cmd,-0.003, Enc, 0.000, Gyro, 0.000
VelControlTask  ,11.701,Cmd,-0.004, Enc,-0.019, Gyro, 0.004
VelControlTask  ,11.708,Cmd,-0.004, Enc, 0.000, Gyro,-0.002
VelControlTask  ,11.715,Cmd,-0.003, Enc, 0.000, Gyro,-0.001
VelControlTask  ,11.722,Cmd,-0.003, Enc, 0.000, Gyro,-0.001
VelControlTask  ,11.729,Cmd,-0.004, Enc, 0.000, Gyro,-0.002
VelControlTask  ,11.736,Cmd,-0.003, Enc, 0.000, Gyro,-0.002
VelControlTask  ,11.743,Cmd,-0.003, Enc, 0.000, Gyro,-0.002
VelControlTask  ,11.750,Cmd,-0.002, Enc, 0.000, Gyro,-0.005
VelControlTask  ,11.757,Cmd,-0.001, Enc, 0.000, Gyro,-0.004
VelControlTask  ,11.764,Cmd,-0.001, Enc, 0.000, Gyro,-0.004
VelControlTask  ,11.771,Cmd,-0.002, Enc, 0.000, Gyro,-0.002
VelControlTask  ,11.778,Cmd,-0.002, Enc, 0.000, Gyro,-0.001
VelControlTask  ,11.785,Cmd,-0.002, Enc, 0.000, Gyro,-0.001
VelControlTask  ,11.792,Cmd,-0.002, Enc, 0.000, Gyro,-0.001
VelControlTask  ,11.799,Cmd,-0.001, Enc,-0.019, Gyro,-0.003
VelControlTask  ,11.806,Cmd,-0.000, Enc, 0.000, Gyro,-0.004
VelControlTask  ,11.813,Cmd,-0.001, Enc, 0.000, Gyro,-0.005
VelControlTask  ,11.820,Cmd, 0.000, Enc,-0.019, Gyro,-0.001
VelControlTask  ,11.827,Cmd,-0.001, Enc, 0.000, Gyro, 0.002
VelControlTask  ,11.834,Cmd,-0.003, Enc, 0.000, Gyro, 0.002
VelControlTask  ,11.841,Cmd,-0.002, Enc, 0.000, Gyro,-0.001
VelControlTask  ,11.848,Cmd,-0.001, Enc, 0.000, Gyro, 0.003
VelControlTask  ,11.855,Cmd,-0.003, Enc, 0.000, Gyro, 0.000
VelControlTask  ,11.862,Cmd,-0.002, Enc, 0.000, Gyro, 0.002
VelControlTask  ,11.869,Cmd,-0.002, Enc, 0.000, Gyro, 0.003
VelControlTask  ,11.876,Cmd,-0.002, Enc, 0.000, Gyro, 0.002
VelControlTask  ,11.883,Cmd,-0.003, Enc, 0.000, Gyro, 0.005
VelControlTask  ,11.890,Cmd,-0.004, Enc, 0.000, Gyro, 0.000
VelControlTask  ,11.897,Cmd,-0.004, Enc, 0.000, Gyro,-0.002
VelControlTask  ,11.904,Cmd,-0.002, Enc, 0.000, Gyro, 0.000
VelControlTask  ,11.911,Cmd,-0.003, Enc,-0.019, Gyro, 0.002
VelControlTask  ,11.918,Cmd,-0.003, Enc, 0.000, Gyro, 0.002
VelControlTask  ,11.925,Cmd,-0.003, Enc, 0.000, Gyro,-0.001
VelControlTask  ,11.932,Cmd,-0.003, Enc, 0.000, Gyro, 0.002
VelControlTask  ,11.939,Cmd,-0.004, Enc,-0.019, Gyro, 0.000
VelControlTask  ,11.946,Cmd,-0.004, Enc, 0.000, Gyro,-0.001
VelControlTask  ,11.953,Cmd,-0.003, Enc, 0.000, Gyro, 0.005
VelControlTask  ,11.960,Cmd,-0.005, Enc, 0.000, Gyro, 0.000
VelControlTask  ,11.967,Cmd,-0.003, Enc, 0.000, Gyro, 0.002
VelControlTask  ,11.974,Cmd,-0.005, Enc,-0.019, Gyro, 0.000
VelControlTask  ,11.981,Cmd,-0.005, Enc, 0.000, Gyro, 0.000
VelControlTask  ,11.988,Cmd,-0.005, Enc, 0.000, Gyro,-0.001
VelControlTask  ,11.995,Cmd,-0.003, Enc, 0.000, Gyro,-0.002
VelControlTask  ,12.002,Cmd,-0.004, Enc, 0.000, Gyro, 0.003
VelControlTask  ,12.009,Cmd,-0.004, Enc, 0.000, Gyro, 0.000
VelControlTask  ,12.016,Cmd,-0.005, Enc, 0.000, Gyro, 0.000
VelControlTask  ,12.023,Cmd,-0.004, Enc, 0.000, Gyro, 0.000
VelControlTask  ,12.030,Cmd,-0.005, Enc,-0.019, Gyro, 0.002
VelControlTask  ,12.037,Cmd,-0.005, Enc,-0.019, Gyro, 0.000
VelControlTask  ,12.044,Cmd,-0.005, Enc, 0.000, Gyro, 0.003
VelControlTask  ,12.051,Cmd,-0.005, Enc, 0.000, Gyro,-0.003
VelControlTask  ,12.058,Cmd,-0.005, Enc, 0.000, Gyro, 0.003
VelControlTask  ,12.065,Cmd,-0.005, Enc, 0.000, Gyro, 0.000
VelControlTask  ,12.072,Cmd,-0.004, Enc,-0.019, Gyro, 0.000
VelControlTask  ,12.079,Cmd,-0.005, Enc, 0.000, Gyro, 0.002
VelControlTask  ,12.086,Cmd,-0.005, Enc, 0.000, Gyro,-0.001
VelControlTask  ,12.093,Cmd,-0.006, Enc, 0.000, Gyro,-0.001
VelControlTask  ,12.100,Cmd,-0.004, Enc,-0.019, Gyro,-0.001
VelControlTask  ,12.107,Cmd,-0.006, Enc,-0.019, Gyro,-0.001
VelControlTask  ,12.114,Cmd,-0.005, Enc, 0.000, Gyro, 0.000
VelControlTask  ,12.121,Cmd,-0.005, Enc, 0.000, Gyro, 0.003
VelControlTask  ,12.128,Cmd,-0.006, Enc, 0.000, Gyro,-0.002
VelControlTask  ,12.135,Cmd,-0.005, Enc, 0.000, Gyro, 0.003
VelControlTask  ,12.142,Cmd,-0.006, Enc, 0.000, Gyro, 0.003
VelControlTask  ,12.149,Cmd,-0.006, Enc, 0.000, Gyro, 0.002
VelControlTask  ,12.156,Cmd,-0.006, Enc, 0.000, Gyro, 0.000
VelControlTask  ,12.163,Cmd,-0.006, Enc,-0.019, Gyro, 0.002
VelControlTask  ,12.170,Cmd,-0.006, Enc, 0.000, Gyro, 0.002
VelControlTask  ,12.177,Cmd,-0.008, Enc, 0.000, Gyro, 0.000
VelControlTask  ,12.184,Cmd,-0.007, Enc, 0.000, Gyro, 0.003
VelControlTask  ,12.191,Cmd,-0.007, Enc, 0.000, Gyro, 0.003
VelControlTask  ,12.198,Cmd,-0.007, Enc, 0.000, Gyro, 0.002
VelControlTask  ,12.205,Cmd,-0.008, Enc, 0.000, Gyro, 0.000
VelControlTask  ,12.212,Cmd,-0.007, Enc, 0.000, Gyro,-0.001
VelControlTask  ,12.219,Cmd,-0.006, Enc, 0.000, Gyro, 0.004
VelControlTask  ,12.226,Cmd,-0.009, Enc, 0.000, Gyro, 0.003
VelControlTask  ,12.233,Cmd,-0.008, Enc, 0.000, Gyro, 0.000
VelControlTask  ,12.240,Cmd,-0.008, Enc,-0.019, Gyro, 0.002
VelControlTask  ,12.247,Cmd,-0.009, Enc,-0.019, Gyro, 0.000
VelControlTask  ,12.254,Cmd,-0.008, Enc, 0.000, Gyro, 0.000
VelControlTask  ,12.261,Cmd,-0.009, Enc,-0.019, Gyro, 0.005
VelControlTask  ,12.268,Cmd,-0.009, Enc,-0.056, Gyro, 0.003
VelControlTask  ,12.275,Cmd,-0.009, Enc, 0.000, Gyro, 0.000
VelControlTask  ,12.282,Cmd,-0.008, Enc, 0.000, Gyro, 0.000
VelControlTask  ,12.289,Cmd,-0.008, Enc, 0.000, Gyro,-0.002
VelControlTask  ,12.296,Cmd,-0.009, Enc, 0.000, Gyro,-0.001
VelControlTask  ,12.303,Cmd,-0.009, Enc, 0.000, Gyro, 0.002
VelControlTask  ,12.310,Cmd,-0.008, Enc,-0.019, Gyro,-0.002
VelControlTask  ,12.317,Cmd,-0.009, Enc, 0.000, Gyro, 0.000
VelControlTask  ,12.324,Cmd,-0.008, Enc, 0.000, Gyro,-0.003
VelControlTask  ,12.331,Cmd,-0.008, Enc,-0.019, Gyro,-0.001
VelControlTask  ,12.338,Cmd,-0.008, Enc,-0.038, Gyro, 0.005
VelControlTask  ,12.345,Cmd,-0.010, Enc, 0.000, Gyro, 0.000
VelControlTask  ,12.352,Cmd,-0.007, Enc, 0.000, Gyro,-0.004
VelControlTask  ,12.359,Cmd,-0.006, Enc,-0.019, Gyro,-0.006
VelControlTask  ,12.366,Cmd,-0.005, Enc, 0.000, Gyro,-0.002
VelControlTask  ,12.373,Cmd,-0.008, Enc,-0.038, Gyro, 0.006
VelControlTask  ,12.380,Cmd,-0.011, Enc,-0.019, Gyro, 0.000
VelControlTask  ,12.387,Cmd,-0.007, Enc, 0.000, Gyro,-0.009
VelControlTask  ,12.394,Cmd,-0.003, Enc, 0.000, Gyro,-0.011
