VelControlTask  ,14.994,Enc, 0.000, Gyro,-0.002
VelControlTask  ,14.995,Enc, 0.000, Gyro,-0.001
VelControlTask  ,14.996,Enc, 0.000, Gyro, 0.000
VelControlTask  ,14.997,Enc, 0.000, Gyro,-0.001
VelControlTask  ,14.998,Enc, 0.000, Gyro,-0.001
VelControlTask  ,14.999,Enc, 0.000, Gyro,-0.001
VelControlTask  ,15.000,Enc, 0.000, Gyro,-0.002
VelControlTask  ,15.001,Enc, 0.000, Gyro,-0.003
VelControlTask  ,15.002,Enc, 0.000, Gyro,-0.002
VelControlTask  ,15.003,Enc, 0.000, Gyro,-0.001
VelControlTask  ,15.004,Enc, 0.000, Gyro,-0.002
VelControlTask  ,15.005,Enc, 0.000, Gyro,-0.002
VelControlTask  ,15.006,Enc, 0.000, Gyro,-0.002
VelControlTask  ,15.007,Enc, 0.000, Gyro,-0.001
VelControlTask  ,15.008,Enc, 0.000, Gyro, 0.000
VelControlTask  ,15.009,Enc, 0.000, Gyro, 0.001
VelControlTask  ,15.010,Enc, 0.000, Gyro, 0.000
VelControlTask  ,15.011,Enc, 0.000, Gyro, 0.000
VelControlTask  ,15.012,Enc, 0.000, Gyro,-0.001
VelControlTask  ,15.013,Enc, 0.000, Gyro, 0.000
VelControlTask  ,15.014,Enc, 0.000, Gyro,-0.001
VelControlTask  ,15.015,Enc, 0.000, Gyro,-0.002
VelControlTask  ,15.016,Enc, 0.000, Gyro,-0.001
VelControlTask  ,15.017,Enc, 0.000, Gyro,-0.001
VelControlTask  ,15.018,Enc, 0.000, Gyro, 0.001
VelControlTask  ,15.019,Enc, 0.000, Gyro, 0.000
VelControlTask  ,15.020,Enc, 0.000, Gyro,-0.001
VelControlTask  ,15.021,Enc, 0.000, Gyro, 0.000
VelControlTask  ,15.022,Enc, 0.000, Gyro,-0.001
VelControlTask  ,15.023,Enc, 0.000, Gyro,-0.002
VelControlTask  ,15.024,Enc, 0.000, Gyro,-0.002
VelControlTask  ,15.025,Enc, 0.000, Gyro,-0.003
VelControlTask  ,15.026,Enc, 0.000, Gyro,-0.001
VelControlTask  ,15.027,Enc, 0.000, Gyro, 0.000
VelControlTask  ,15.028,Enc, 0.000, Gyro, 0.002
VelControlTask  ,15.029,Enc, 0.000, Gyro, 0.001
VelControlTask  ,15.030,Enc, 0.000, Gyro, 0.001
VelControlTask  ,15.031,Enc, 0.000, Gyro, 0.000
VelControlTask  ,15.032,Enc, 0.000, Gyro,-0.001
VelControlTask  ,15.033,Enc, 0.000, Gyro,-0.001
VelControlTask  ,15.034,Enc, 0.000, Gyro, 0.000
VelControlTask  ,15.035,Enc, 0.000, Gyro, 0.002
VelControlTask  ,15.036,Enc, 0.000, Gyro, 0.001
VelControlTask  ,15.037,Enc, 0.000, Gyro,-0.001
VelControlTask  ,15.038,Enc, 0.000, Gyro, 0.000
VelControlTask  ,15.039,Enc, 0.000, Gyro,-0.001
VelControlTask  ,15.040,Enc, 0.000, Gyro, 0.000
VelControlTask  ,15.041,Enc, 0.000, Gyro, 0.000
VelControlTask  ,15.042,Enc, 0.000, Gyro,-0.001
VelControlTask  ,15.043,Enc, 0.000, Gyro, 0.000
VelControlTask  ,15.044,Enc, 0.000, Gyro,-0.001
VelControlTask  ,15.045,Enc, 0.000, Gyro,-0.001
VelControlTask  ,15.046,Enc, 0.000, Gyro, 0.000
VelControlTask  ,15.047,Enc, 0.000, Gyro, 0.000
VelControlTask  ,15.048,Enc, 0.000, Gyro, 0.000
VelControlTask  ,15.049,Enc, 0.000, Gyro,-0.001
VelControlTask  ,15.050,Enc, 0.000, Gyro,-0.001
VelControlTask  ,15.051,Enc, 0.000, Gyro, 0.000
VelControlTask  ,15.052,Enc, 0.000, Gyro, 0.000
VelControlTask  ,15.053,Enc, 0.000, Gyro, 0.000
VelControlTask  ,15.054,Enc, 0.000, Gyro,-0.002
VelControlTask  ,15.055,Enc, 0.000, Gyro,-0.001
VelControlTask  ,15.056,Enc, 0.000, Gyro,-0.002
VelControlTask  ,15.057,Enc, 0.000, Gyro,-0.001
VelControlTask  ,15.058,Enc, 0.000, Gyro,-0.001
VelControlTask  ,15.059,Enc, 0.000, Gyro,-0.001
VelControlTask  ,15.060,Enc, 0.000, Gyro,-0.001
VelControlTask  ,15.061,Enc, 0.000, Gyro,-0.001
VelControlTask  ,15.062,Enc, 0.000, Gyro,-0.001
VelControlTask  ,15.063,Enc, 0.000, Gyro,-0.002
VelControlTask  ,15.064,Enc, 0.000, Gyro,-0.002
VelControlTask  ,15.065,Enc, 0.000, Gyro,-0.002
VelControlTask  ,15.066,Enc, 0.000, Gyro, 0.000
VelControlTask  ,15.067,Enc, 0.000, Gyro, 0.002
VelControlTask  ,15.068,Enc, 0.000, Gyro, 0.000
VelControlTask  ,15.069,Enc, 0.000, Gyro,-0.002
VelControlTask  ,15.070,Enc, 0.000, Gyro, 0.000
VelControlTask  ,15.071,Enc, 0.000, Gyro,-0.002
VelControlTask  ,15.072,Enc, 0.000, Gyro,-0.002
VelControlTask  ,15.073,Enc, 0.000, Gyro,-0.001
VelControlTask  ,15.074,Enc, 0.000, Gyro, 0.000
VelControlTask  ,15.075,Enc, 0.000, Gyro, 0.000
VelControlTask  ,15.076,Enc, 0.000, Gyro, 0.001
VelControlTask  ,15.077,Enc, 0.000, Gyro, 0.000
VelControlTask  ,15.078,Enc, 0.000, Gyro,-0.001
VelControlTask  ,15.079,Enc, 0.000, Gyro, 0.000
VelControlTask  ,15.080,Enc, 0.000, Gyro, 0.000
VelControlTask  ,15.081,Enc, 0.000, Gyro, 0.000
VelControlTask  ,15.082,Enc, 0.000, Gyro, 0.000
VelControlTask  ,15.083,Enc, 0.000, Gyro,-0.001
VelControlTask  ,15.084,Enc, 0.000, Gyro,-0.002
VelControlTask  ,15.085,Enc, 0.000, Gyro,-0.002
VelControlTask  ,15.086,Enc, 0.000, Gyro,-0.002
VelControlTask  ,15.087,Enc, 0.000, Gyro,-0.003
VelControlTask  ,15.088,Enc, 0.000, Gyro,-0.003
